,Case ID,Activity,Timestamp
70,1-322204195,Accepted-Wait,2012/05/24 10:02:19.000
80,1-322581861,Accepted-In Progress,2009/09/18 12:50:02.000
81,1-322581861,Unmatched-Unmatched,2009/11/17 14:07:38.000
82,1-322581861,Completed-Closed,2012/03/13 11:53:35.000
84,1-322980802,Accepted-In Progress,2009/09/21 14:13:43.000
83,1-322980802,Completed-Closed,2012/02/07 13:22:11.000
85,1-323264491,Accepted-In Progress,2009/09/22 14:22:05.000
86,1-323264491,Accepted-Assigned,2009/09/22 14:25:17.000
87,1-323264491,Completed-Closed,2012/05/24 10:57:49.000
96,1-323462732,Accepted-In Progress,2009/09/23 11:52:27.000
95,1-323462732,Accepted-Assigned,2010/01/04 09:00:17.000
94,1-323462732,Accepted-In Progress,2010/03/17 16:36:20.000
93,1-323462732,Accepted-Assigned,2010/11/09 12:35:55.000
88,1-323462732,Accepted-In Progress,2010/11/09 14:20:48.000
91,1-323462732,Accepted-In Progress,2012/03/30 08:00:47.000
90,1-323462732,Accepted-Assigned,2012/03/30 08:05:44.000
89,1-323462732,Accepted-In Progress,2012/04/19 10:01:14.000
92,1-323462732,Completed-Closed,2012/04/19 10:01:38.000
101,1-327329880,Completed-Closed,2012/02/01 09:46:57.000
97,1-327329880,Accepted-In Progress,2009/10/14 18:12:54.000
98,1-327329880,Accepted-Wait,2009/12/02 14:24:37.000
99,1-327329880,Accepted-In Progress,2011/09/02 00:22:08.000
100,1-327329880,Accepted-In Progress,2012/02/01 09:46:54.000
109,1-329451027,Queued-Awaiting Assignment,2010/03/02 13:44:22.000
108,1-329451027,Unmatched-Unmatched,2009/10/27 09:57:26.000
111,1-329451027,Accepted-Wait,2009/10/26 14:47:10.000
110,1-329451027,Accepted-In Progress,2010/03/02 13:46:10.000
107,1-329451027,Accepted-Wait,2010/03/02 13:46:18.000
105,1-329451027,Accepted-Assigned,2011/04/11 09:10:20.000
106,1-329451027,Accepted-Assigned,2011/04/11 09:11:48.000
104,1-329451027,Completed-Closed,2012/03/30 10:53:53.000
103,1-329451027,Accepted-In Progress,2012/03/30 10:53:50.000
102,1-329451027,Accepted-Wait,2011/11/28 08:21:27.000
120,1-329647261,Accepted-Wait,2011/11/23 11:55:39.000
119,1-329647261,Accepted-Assigned,2011/04/11 09:12:04.000
117,1-329647261,Queued-Awaiting Assignment,2010/03/02 13:43:43.000
116,1-329647261,Completed-Closed,2012/01/19 08:55:41.000
118,1-329647261,Accepted-In Progress,2010/03/02 13:44:26.000
114,1-329647261,Accepted-Wait,2010/06/13 22:32:03.000
113,1-329647261,Accepted-In Progress,2010/03/03 08:04:11.000
112,1-329647261,Accepted-Wait,2009/10/27 09:42:49.000
115,1-329647261,Accepted-In Progress,2009/10/27 09:42:40.000
121,1-330634474,Accepted-In Progress,2009/10/30 13:49:04.000
122,1-330634474,Accepted-Assigned,2009/10/30 13:57:13.000
123,1-330634474,Queued-Awaiting Assignment,2010/03/02 13:43:50.000
124,1-330634474,Accepted-In Progress,2010/03/02 13:45:25.000
125,1-330634474,Accepted-Wait,2010/03/02 13:45:37.000
126,1-330634474,Completed-Closed,2012/03/30 10:54:30.000
131,1-331478885,Accepted-In Progress,2010/03/03 15:51:55.000
132,1-331478885,Accepted-In Progress,2009/11/04 08:07:28.000
130,1-331478885,Accepted-Assigned,2010/03/03 15:52:18.000
133,1-331478885,Accepted-Assigned,2010/05/24 17:04:58.000
128,1-331478885,Accepted-In Progress,2012/04/02 10:18:59.000
127,1-331478885,Accepted-Assigned,2010/08/09 12:39:59.000
129,1-331478885,Completed-Closed,2012/04/02 10:19:30.000
134,1-332389008,Queued-Awaiting Assignment,2009/11/09 16:38:14.000
135,1-332389008,Accepted-In Progress,2009/11/24 09:41:50.000
136,1-332389008,Accepted-Wait,2010/09/10 10:45:16.000
137,1-332389008,Accepted-In Progress,2011/03/28 11:52:46.000
138,1-332389008,Accepted-Wait,2012/01/04 15:53:26.000
139,1-332389008,Completed-Closed,2012/04/13 13:41:36.000
152,1-333164156,Accepted-In Progress,2011/08/25 15:24:01.000
151,1-333164156,Queued-Awaiting Assignment,2011/05/19 15:49:04.000
150,1-333164156,Accepted-In Progress,2011/05/19 15:45:16.000
149,1-333164156,Accepted-In Progress,2009/11/12 13:41:27.000
148,1-333164156,Accepted-In Progress,2010/09/17 10:33:52.000
147,1-333164156,Queued-Awaiting Assignment,2010/11/12 19:22:19.000
145,1-333164156,Queued-Awaiting Assignment,2011/08/25 15:24:43.000
144,1-333164156,Accepted-Assigned,2011/08/25 15:25:33.000
143,1-333164156,Accepted-In Progress,2011/10/26 17:07:30.000
142,1-333164156,Completed-Closed,2012/03/30 11:45:20.000
141,1-333164156,Accepted-Wait,2011/01/11 17:13:42.000
140,1-333164156,Accepted-Assigned,2011/01/07 14:55:04.000
146,1-333164156,Accepted-Assigned,2010/11/23 15:10:22.000
153,1-335260940,Accepted-In Progress,2009/11/24 09:44:43.000
154,1-335260940,Queued-Awaiting Assignment,2009/11/30 10:45:01.000
155,1-335260940,Accepted-In Progress,2010/03/14 13:40:26.000
156,1-335260940,Unmatched-Unmatched,2010/03/14 13:40:36.000
157,1-335260940,Completed-Closed,2012/01/18 14:26:41.000
161,1-337229341,Unmatched-Unmatched,2009/12/04 12:10:14.000
159,1-337229341,Accepted-Assigned,2010/11/29 11:52:49.000
158,1-337229341,Accepted-In Progress,2012/04/14 17:22:00.000
160,1-337229341,Completed-Closed,2012/04/14 17:22:21.000
162,1-338946805,Accepted-In Progress,2009/12/14 14:29:17.000
163,1-338946805,Accepted-In Progress,2012/01/10 09:32:43.000
164,1-338946805,Completed-Closed,2012/01/10 09:33:57.000
165,1-339798202,Accepted-In Progress,2009/12/16 12:59:24.000
166,1-339798202,Accepted-In Progress,2012/03/15 12:21:25.000
167,1-339798202,Completed-Closed,2012/03/15 12:21:47.000
169,1-339889001,Accepted-In Progress,2009/12/16 20:47:26.000
168,1-339889001,Accepted-In Progress,2012/03/14 13:04:51.000
170,1-339889001,Completed-Closed,2012/03/14 13:07:29.000
173,1-340984229,Accepted-In Progress,2009/12/22 09:09:31.000
171,1-340984229,Unmatched-Unmatched,2009/12/22 09:25:22.000
172,1-340984229,Completed-Closed,2012/02/01 12:38:06.000
174,1-341002175,Accepted-Wait,2009/12/22 10:56:03.000
175,1-341002175,Accepted-In Progress,2012/02/01 12:39:50.000
176,1-341002175,Completed-Closed,2012/02/01 12:40:25.000
177,1-342442140,Accepted-In Progress,2010/01/05 16:42:20.000
178,1-342442140,Completed-Closed,2012/03/20 16:14:00.000
184,1-345132462,Accepted-In Progress,2010/01/14 10:34:54.000
185,1-345132462,Completed-Closed,2012/02/01 10:24:59.000
182,1-345132462,Accepted-Wait,2010/02/22 08:33:08.000
183,1-345132462,Accepted-In Progress,2011/09/02 00:17:47.000
180,1-345132462,Accepted-Wait,2010/01/27 10:43:29.000
179,1-345132462,Accepted-In Progress,2012/02/01 10:24:17.000
181,1-345132462,Accepted-Assigned,2010/02/03 10:20:05.000
186,1-345255471,Accepted-In Progress,2010/01/14 15:02:21.000
187,1-345255471,Queued-Awaiting Assignment,2010/01/15 15:10:22.000
188,1-345255471,Queued-Awaiting Assignment,2011/09/23 15:06:05.000
189,1-345255471,Accepted-In Progress,2012/02/08 08:11:21.000
190,1-345255471,Completed-Closed,2012/02/08 08:14:29.000
193,1-347461373,Accepted-In Progress,2010/01/21 16:42:26.000
191,1-347461373,Accepted-In Progress,2012/04/11 16:38:17.000
192,1-347461373,Completed-Closed,2012/04/11 16:39:02.000
199,1-347923966,Accepted-In Progress,2010/03/03 15:54:09.000
198,1-347923966,Accepted-Assigned,2010/02/08 11:41:12.000
197,1-347923966,Accepted-In Progress,2010/01/25 09:19:08.000
194,1-347923966,Completed-Closed,2012/03/28 14:39:49.000
195,1-347923966,Accepted-In Progress,2012/03/28 14:39:46.000
196,1-347923966,Accepted-Assigned,2010/03/03 15:54:25.000
202,1-347924629,Accepted-In Progress,2010/01/25 07:44:36.000
200,1-347924629,Accepted-Assigned,2011/12/16 10:26:27.000
201,1-347924629,Accepted-Wait,2012/03/30 13:09:18.000
203,1-347924629,Completed-Closed,2012/03/30 13:24:18.000
204,1-349857482,Accepted-In Progress,2010/01/27 13:58:09.000
205,1-349857482,Completed-Closed,2012/02/29 12:20:13.000
207,1-351187625,Accepted-In Progress,2010/02/02 15:50:20.000
206,1-351187625,Accepted-In Progress,2012/04/11 16:39:33.000
208,1-351187625,Completed-Closed,2012/04/11 16:40:09.000
213,1-351314317,Accepted-In Progress,2010/02/03 09:34:32.000
214,1-351314317,Queued-Awaiting Assignment,2010/02/03 09:45:18.000
212,1-351314317,Accepted-In Progress,2010/02/03 10:40:51.000
210,1-351314317,Accepted-Assigned,2010/02/03 10:40:58.000
211,1-351314317,Accepted-In Progress,2011/12/20 22:25:19.000
209,1-351314317,Completed-Closed,2012/01/03 13:13:02.000
215,1-351869391,Accepted-In Progress,2010/02/05 10:00:12.000
216,1-351869391,Accepted-In Progress,2012/02/23 14:34:50.000
217,1-351869391,Completed-Closed,2012/02/23 14:37:00.000
221,1-353818791,Queued-Awaiting Assignment,2010/02/12 14:00:54.000
220,1-353818791,Accepted-In Progress,2010/02/12 14:01:08.000
222,1-353818791,Queued-Awaiting Assignment,2010/10/28 19:15:39.000
218,1-353818791,Accepted-In Progress,2010/10/29 17:11:03.000
219,1-353818791,Completed-Closed,2012/04/04 15:41:41.000
223,1-354039443,Accepted-In Progress,2010/02/15 07:41:51.000
224,1-354039443,Accepted-In Progress,2010/02/15 07:48:52.000
225,1-354039443,Accepted-Assigned,2010/02/15 12:10:30.000
226,1-354039443,Accepted-In Progress,2011/12/28 15:05:47.000
227,1-354039443,Completed-Closed,2012/01/30 12:29:51.000
234,1-354090772,Accepted-Wait,2010/02/15 09:34:41.000
238,1-354090772,Accepted-In Progress,2010/03/02 13:59:28.000
237,1-354090772,Queued-Awaiting Assignment,2010/03/02 14:01:04.000
236,1-354090772,Accepted-In Progress,2010/02/15 09:33:11.000
233,1-354090772,Accepted-In Progress,2010/03/02 14:07:11.000
235,1-354090772,Accepted-Assigned,2010/03/02 14:07:48.000
231,1-354090772,Completed-Closed,2012/01/19 08:56:20.000
232,1-354090772,Accepted-Assigned,2011/04/11 08:48:47.000
230,1-354090772,Accepted-Wait,2010/03/02 14:11:18.000
229,1-354090772,Accepted-Assigned,2011/04/11 09:08:44.000
228,1-354090772,Accepted-Wait,2011/11/23 11:55:49.000
239,1-354350908,Accepted-Wait,2010/02/16 11:03:41.000
240,1-354350908,Accepted-In Progress,2011/09/02 00:16:31.000
241,1-354350908,Accepted-In Progress,2012/01/20 08:40:03.000
242,1-354350908,Completed-Closed,2012/01/20 08:40:20.000
245,1-354376900,Accepted-Wait,2010/02/16 11:04:37.000
246,1-354376900,Accepted-In Progress,2011/09/02 00:16:15.000
243,1-354376900,Accepted-In Progress,2012/02/01 10:16:03.000
244,1-354376900,Completed-Closed,2012/02/01 10:16:53.000
247,1-356055231,Accepted-In Progress,2010/02/23 13:10:59.000
248,1-356055231,Accepted-Wait,2010/02/23 13:13:19.000
249,1-356055231,Queued-Awaiting Assignment,2010/03/02 13:44:01.000
250,1-356055231,Accepted-In Progress,2010/03/02 13:46:47.000
251,1-356055231,Accepted-Wait,2010/03/02 13:46:58.000
252,1-356055231,Accepted-Assigned,2011/11/28 08:20:33.000
253,1-356055231,Accepted-Wait,2011/11/28 08:20:57.000
254,1-356055231,Completed-Closed,2012/01/19 08:59:01.000
261,1-356879617,Accepted-In Progress,2010/02/26 13:39:44.000
264,1-356879617,Queued-Awaiting Assignment,2010/02/26 13:45:58.000
262,1-356879617,Accepted-In Progress,2010/02/26 18:04:51.000
260,1-356879617,Accepted-In Progress,2010/02/26 18:08:30.000
263,1-356879617,Accepted-In Progress,2010/02/26 18:09:05.000
258,1-356879617,Accepted-In Progress,2010/02/26 18:09:42.000
257,1-356879617,Accepted-In Progress,2010/02/26 18:11:57.000
256,1-356879617,Accepted-Assigned,2010/02/26 18:12:06.000
259,1-356879617,Accepted-In Progress,2012/01/19 10:01:46.000
255,1-356879617,Completed-Closed,2012/01/19 10:02:07.000
265,1-357087417,Accepted-In Progress,2010/03/01 06:54:12.000
266,1-357087417,Queued-Awaiting Assignment,2010/03/01 07:04:33.000
267,1-357087417,Accepted-In Progress,2010/03/01 11:53:51.000
268,1-357087417,Accepted-Assigned,2010/03/01 12:00:54.000
269,1-357087417,Accepted-In Progress,2011/12/28 16:01:17.000
270,1-357087417,Completed-Closed,2012/01/30 12:30:21.000
273,1-357610411,Accepted-In Progress,2010/03/02 11:41:18.000
272,1-357610411,Accepted-Wait,2010/09/19 09:21:17.000
271,1-357610411,Completed-Closed,2012/02/01 16:42:48.000
274,1-358038911,Accepted-In Progress,2010/03/03 19:25:03.000
275,1-358038911,Unmatched-Unmatched,2010/03/11 15:44:02.000
276,1-358038911,Accepted-In Progress,2010/08/16 11:54:31.000
277,1-358038911,Accepted-Wait,2010/08/16 12:13:10.000
278,1-358038911,Accepted-In Progress,2012/01/17 07:59:31.000
279,1-358038911,Completed-Closed,2012/01/17 07:59:59.000
280,1-358776870,Accepted-In Progress,2010/03/08 09:17:56.000
281,1-358776870,Accepted-Wait,2010/03/08 09:19:32.000
282,1-358776870,Completed-Closed,2012/03/30 10:59:03.000
286,1-359215498,Accepted-In Progress,2010/03/09 11:28:51.000
285,1-359215498,Accepted-Assigned,2011/04/11 09:09:41.000
287,1-359215498,Accepted-Assigned,2011/04/11 09:11:23.000
283,1-359215498,Accepted-Wait,2011/11/28 08:21:08.000
284,1-359215498,Completed-Closed,2012/03/30 11:01:23.000
288,1-359781492,Accepted-In Progress,2010/03/11 10:02:02.000
289,1-359781492,Completed-Closed,2012/03/15 14:27:03.000
299,1-359841262,Accepted-In Progress,2010/03/11 14:06:34.000
298,1-359841262,Accepted-In Progress,2010/03/11 14:10:10.000
297,1-359841262,Queued-Awaiting Assignment,2010/03/11 14:12:19.000
296,1-359841262,Accepted-In Progress,2010/03/11 14:12:35.000
295,1-359841262,Queued-Awaiting Assignment,2010/03/11 14:12:46.000
294,1-359841262,Accepted-In Progress,2010/03/11 14:13:02.000
293,1-359841262,Accepted-Assigned,2010/07/20 09:25:18.000
292,1-359841262,Accepted-In Progress,2011/09/05 09:28:42.000
291,1-359841262,Accepted-In Progress,2012/01/20 08:24:45.000
290,1-359841262,Completed-Closed,2012/01/20 08:24:59.000
306,1-360072755,Accepted-Assigned,2010/03/12 15:55:50.000
305,1-360072755,Queued-Awaiting Assignment,2010/08/25 11:04:56.000
304,1-360072755,Accepted-In Progress,2011/09/03 07:49:00.000
300,1-360072755,Accepted-Assigned,2011/11/14 16:10:03.000
302,1-360072755,Accepted-Wait,2012/01/12 09:23:04.000
301,1-360072755,Accepted-In Progress,2012/03/08 10:22:52.000
303,1-360072755,Completed-Closed,2012/03/08 10:24:51.000
307,1-360464815,Accepted-In Progress,2010/03/15 14:40:16.000
308,1-360464815,Accepted-Wait,2010/04/15 16:32:45.000
309,1-360464815,Accepted-In Progress,2011/06/09 11:37:15.000
310,1-360464815,Completed-Closed,2012/02/21 14:57:48.000
313,1-360667704,Accepted-In Progress,2010/03/16 08:44:27.000
311,1-360667704,Accepted-Wait,2010/06/15 09:42:52.000
312,1-360667704,Completed-Closed,2012/03/30 12:17:27.000
316,1-361368011,Accepted-In Progress,2010/03/18 11:44:05.000
314,1-361368011,Accepted-In Progress,2012/03/19 14:13:30.000
315,1-361368011,Completed-Closed,2012/03/19 14:15:58.000
317,1-363041157,Accepted-In Progress,2010/03/26 08:24:05.000
318,1-363041157,Completed-Closed,2012/03/20 16:16:39.000
319,1-363206822,Accepted-In Progress,2010/03/26 14:03:21.000
320,1-363206822,Accepted-In Progress,2010/03/26 14:05:35.000
321,1-363206822,Queued-Awaiting Assignment,2010/03/26 14:05:48.000
322,1-363206822,Accepted-In Progress,2011/09/05 09:28:50.000
323,1-363206822,Accepted-In Progress,2012/02/07 02:39:08.000
324,1-363206822,Completed-Closed,2012/02/07 02:39:40.000
330,1-363549934,Accepted-In Progress,2010/03/29 11:38:31.000
329,1-363549934,Queued-Awaiting Assignment,2010/03/29 11:41:32.000
328,1-363549934,Accepted-In Progress,2010/03/29 13:30:54.000
327,1-363549934,Accepted-Assigned,2010/03/29 13:30:58.000
326,1-363549934,Accepted-In Progress,2012/01/19 10:09:44.000
325,1-363549934,Completed-Closed,2012/01/19 10:10:41.000
331,1-364018090,Accepted-In Progress,2010/03/30 18:13:33.000
332,1-364018090,Accepted-In Progress,2010/03/31 11:41:00.000
333,1-364018090,Queued-Awaiting Assignment,2010/03/31 11:43:06.000
334,1-364018090,Accepted-In Progress,2010/03/31 11:43:07.000
335,1-364018090,Accepted-In Progress,2010/03/31 11:46:20.000
336,1-364018090,Accepted-In Progress,2010/10/07 16:45:29.000
337,1-364018090,Completed-Closed,2012/04/24 18:18:24.000
340,1-364458525,Accepted-In Progress,2010/04/01 09:13:49.000
341,1-364458525,Accepted-In Progress,2012/03/30 13:12:07.000
338,1-364458525,Accepted-Wait,2012/03/30 13:12:14.000
339,1-364458525,Completed-Closed,2012/03/30 13:18:11.000
342,1-364528467,Accepted-In Progress,2010/04/01 14:48:30.000
343,1-364528467,Accepted-In Progress,2010/04/01 14:49:59.000
344,1-364528467,Queued-Awaiting Assignment,2010/04/01 14:50:40.000
345,1-364528467,Accepted-In Progress,2010/04/01 19:20:02.000
346,1-364528467,Accepted-Assigned,2010/04/01 19:20:07.000
347,1-364528467,Accepted-In Progress,2012/01/19 10:14:11.000
348,1-364528467,Completed-Closed,2012/01/19 10:14:18.000
354,1-365052802,Queued-Awaiting Assignment,2010/04/28 10:07:00.000
352,1-365052802,Accepted-Assigned,2010/04/06 10:12:22.000
353,1-365052802,Accepted-In Progress,2010/04/06 09:16:15.000
350,1-365052802,Accepted-In Progress,2010/04/28 10:35:20.000
349,1-365052802,Completed-Closed,2012/02/01 12:25:53.000
351,1-365052802,Unmatched-Unmatched,2010/04/28 10:40:07.000
355,1-365189372,Accepted-In Progress,2010/04/06 15:35:51.000
356,1-365189372,Unmatched-Unmatched,2010/04/07 08:30:28.000
357,1-365189372,Accepted-In Progress,2012/02/21 14:58:28.000
358,1-365189372,Completed-Closed,2012/02/21 15:00:21.000
359,1-365702595,Accepted-In Progress,2010/04/08 12:07:36.000
360,1-365702595,Queued-Awaiting Assignment,2010/04/08 12:09:05.000
361,1-365702595,Accepted-In Progress,2010/04/08 19:33:49.000
362,1-365702595,Accepted-Assigned,2010/04/08 19:33:54.000
363,1-365702595,Accepted-In Progress,2011/12/30 10:00:16.000
364,1-365702595,Completed-Closed,2012/01/04 16:49:12.000
367,1-366462246,Accepted-In Progress,2010/04/12 19:14:40.000
366,1-366462246,Accepted-In Progress,2012/04/11 16:40:26.000
365,1-366462246,Completed-Closed,2012/04/11 16:40:52.000
368,1-366509892,Accepted-In Progress,2010/04/12 21:37:25.000
369,1-366509892,Queued-Awaiting Assignment,2010/04/12 21:47:56.000
370,1-366509892,Accepted-In Progress,2010/04/13 14:56:39.000
371,1-366509892,Accepted-Assigned,2010/04/13 14:56:44.000
372,1-366509892,Accepted-In Progress,2012/01/30 12:42:19.000
373,1-366509892,Completed-Closed,2012/01/30 12:42:50.000
379,1-366584206,Accepted-In Progress,2010/04/13 09:38:30.000
378,1-366584206,Queued-Awaiting Assignment,2010/04/13 09:44:30.000
377,1-366584206,Accepted-In Progress,2010/04/13 14:59:01.000
376,1-366584206,Accepted-Assigned,2010/04/13 14:59:07.000
375,1-366584206,Accepted-In Progress,2012/01/09 11:25:49.000
374,1-366584206,Completed-Closed,2012/01/09 11:25:51.000
389,1-366698569,Accepted-Assigned,2011/06/27 11:33:46.000
388,1-366698569,Accepted-In Progress,2010/04/19 16:59:00.000
387,1-366698569,Accepted-In Progress,2010/04/19 16:59:17.000
386,1-366698569,Accepted-Wait,2010/12/13 10:28:11.000
385,1-366698569,Accepted-In Progress,2010/04/13 14:37:07.000
380,1-366698569,Completed-Closed,2012/01/12 13:11:59.000
383,1-366698569,Accepted-In Progress,2011/10/24 10:01:34.000
382,1-366698569,Accepted-Assigned,2011/10/24 10:03:31.000
381,1-366698569,Accepted-In Progress,2012/01/12 13:11:40.000
384,1-366698569,Accepted-Assigned,2011/06/27 12:29:07.000
395,1-366726662,Accepted-Wait,2011/06/27 12:28:17.000
396,1-366726662,Completed-Closed,2012/01/12 13:25:45.000
394,1-366726662,Accepted-In Progress,2010/04/19 17:00:10.000
391,1-366726662,Accepted-In Progress,2010/04/19 16:59:58.000
392,1-366726662,Accepted-Assigned,2011/06/27 12:21:34.000
393,1-366726662,Accepted-Wait,2010/08/10 16:22:31.000
390,1-366726662,Accepted-In Progress,2010/04/13 14:50:15.000
403,1-366923538,Accepted-In Progress,2010/04/14 11:27:54.000
402,1-366923538,Queued-Awaiting Assignment,2010/04/14 11:47:49.000
401,1-366923538,Accepted-In Progress,2010/04/14 11:47:50.000
404,1-366923538,Queued-Awaiting Assignment,2010/04/14 11:54:25.000
399,1-366923538,Accepted-In Progress,2010/04/14 19:58:53.000
398,1-366923538,Accepted-Assigned,2010/04/14 20:09:15.000
397,1-366923538,Accepted-In Progress,2012/01/04 16:55:26.000
400,1-366923538,Completed-Closed,2012/01/30 14:05:58.000
405,1-367002597,Accepted-In Progress,2010/04/14 15:53:38.000
406,1-367002597,Accepted-In Progress,2012/01/09 17:07:46.000
407,1-367002597,Accepted-In Progress,2012/01/09 18:36:13.000
408,1-367002597,Completed-Closed,2012/02/15 12:32:49.000
413,1-367648732,Accepted-In Progress,2012/01/30 12:43:05.000
409,1-367648732,Accepted-In Progress,2010/04/16 18:34:49.000
410,1-367648732,Queued-Awaiting Assignment,2010/04/16 18:42:36.000
411,1-367648732,Accepted-In Progress,2010/04/17 01:40:43.000
412,1-367648732,Accepted-Assigned,2010/04/17 01:42:50.000
414,1-367648732,Completed-Closed,2012/01/30 12:44:31.000
423,1-367921041,Queued-Awaiting Assignment,2010/05/21 17:00:21.000
424,1-367921041,Accepted-In Progress,2011/08/29 04:54:38.000
422,1-367921041,Queued-Awaiting Assignment,2010/04/19 11:08:20.000
426,1-367921041,Accepted-In Progress,2010/04/19 11:07:37.000
425,1-367921041,Accepted-In Progress,2010/05/06 14:02:51.000
421,1-367921041,Queued-Awaiting Assignment,2011/08/24 21:27:17.000
416,1-367921041,Accepted-In Progress,2012/02/29 17:54:59.000
419,1-367921041,Accepted-Wait,2011/11/21 08:27:41.000
